id,date,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,total_min
29073,2015-12-20,4.0,0.0,1.0,1.0,2.0,2.0,0.417,12.0,5.0,0.0,0.0,0.0,17:04,0.0,1.0,12.0,1.0,2.0,1.0,17.066666666666666
32023,2015-12-23,4.0,0.0,0.0,0.0,1.0,0.0,0.143,7.0,1.0,1.0,3.0,3.0,18:57,1.0,2.0,5.0,1.0,0.0,2.0,18.95
27417,2015-12-25,2.0,0.0,0.0,0.0,6.0,0.0,0.267,15.0,4.0,1.0,5.0,5.0,26:14,3.0,1.0,13.0,3.0,1.0,2.0,26.233333333333334
27419,2015-12-28,2.0,0.0,1.0,0.286,7.0,2.0,0.438,16.0,7.0,1.0,6.0,6.0,24:10,0.0,0.0,22.0,1.0,1.0,1.0,24.166666666666668
28204,2016-01-02,5.0,0.0,1.0,0.0,4.0,0.0,0.333,12.0,4.0,0.714,7.0,5.0,21:26,1.0,1.0,13.0,2.0,0.0,1.0,21.433333333333334
27424,2016-01-04,8.0,0.0,4.0,0.4,5.0,2.0,0.625,16.0,10.0,1.0,3.0,3.0,28:44,2.0,1.0,25.0,6.0,0.0,1.0,28.733333333333334
27852,2016-01-06,3.0,1.0,3.0,0.25,4.0,1.0,0.636,22.0,14.0,0.6,5.0,3.0,33:53,2.0,1.0,32.0,5.0,2.0,4.0,33.88333333333333
32605,2016-01-08,2.0,0.0,0.0,0.333,3.0,1.0,0.417,12.0,5.0,1.0,2.0,2.0,27:00,2.0,3.0,13.0,2.0,0.0,4.0,27.0
28065,2016-01-10,2.0,1.0,5.0,0.167,6.0,1.0,0.2,15.0,3.0,1.0,1.0,1.0,30:49,0.0,2.0,8.0,5.0,2.0,2.0,30.816666666666666
27430,2016-01-12,9.0,0.0,2.0,0.375,8.0,3.0,0.4,20.0,8.0,0.75,4.0,3.0,38:50,0.0,2.0,22.0,2.0,1.0,3.0,38.833333333333336
29463,2016-01-14,4.0,0.0,2.0,0.4,5.0,2.0,0.353,17.0,6.0,1.0,2.0,2.0,32:26,0.0,1.0,16.0,2.0,1.0,3.0,32.43333333333333
28068,2016-01-15,1.0,1.0,4.0,0.2,5.0,1.0,0.529,17.0,9.0,0.8,5.0,4.0,29:34,0.0,2.0,23.0,4.0,0.0,1.0,29.566666666666666
28909,2016-01-18,3.0,0.0,3.0,0.333,3.0,1.0,0.273,11.0,3.0,1.0,1.0,1.0,22:36,2.0,0.0,8.0,5.0,0.0,2.0,22.6
28074,2016-01-20,5.0,0.0,1.0,0.5,2.0,1.0,0.571,7.0,4.0,0.0,0.0,0.0,21:17,0.0,0.0,9.0,1.0,0.0,2.0,21.283333333333335
28075,2016-01-21,4.0,0.0,1.0,0.5,4.0,2.0,0.444,18.0,8.0,1.0,3.0,3.0,28:32,1.0,3.0,21.0,2.0,1.0,1.0,28.533333333333335
28913,2016-01-23,3.0,1.0,1.0,0.0,2.0,0.0,0.313,16.0,5.0,1.0,1.0,1.0,31:11,2.0,1.0,11.0,3.0,2.0,0.0,31.183333333333334
29270,2016-01-25,4.0,0.0,6.0,0.25,4.0,1.0,0.389,18.0,7.0,1.0,2.0,2.0,27:58,3.0,1.0,17.0,9.0,0.0,4.0,27.966666666666665
29943,2016-01-27,3.0,0.0,3.0,0.0,3.0,0.0,0.364,11.0,4.0,0.0,0.0,0.0,22:25,1.0,0.0,8.0,4.0,3.0,3.0,22.416666666666668
30913,2016-01-29,2.0,0.0,4.0,0.0,3.0,0.0,0.579,19.0,11.0,0.857,7.0,6.0,32:25,0.0,2.0,28.0,4.0,1.0,1.0,32.416666666666664
27446,2016-01-30,6.0,0.0,0.0,0.0,2.0,0.0,0.529,17.0,9.0,0.75,4.0,3.0,36:29,1.0,2.0,21.0,1.0,2.0,1.0,36.483333333333334
27551,2016-02-01,7.0,0.0,3.0,0.25,4.0,1.0,0.5,20.0,10.0,1.0,4.0,4.0,40:59,0.0,2.0,25.0,3.0,0.0,3.0,40.983333333333334
28088,2016-02-03,5.0,0.0,1.0,0.25,4.0,1.0,0.588,17.0,10.0,1.0,5.0,5.0,36:37,0.0,4.0,26.0,1.0,1.0,1.0,36.61666666666667
28213,2016-02-05,6.0,0.0,3.0,0.0,2.0,0.0,0.467,15.0,7.0,0.833,6.0,5.0,37:29,0.0,3.0,19.0,3.0,0.0,2.0,37.483333333333334
28095,2016-02-06,3.0,0.0,4.0,0.333,9.0,3.0,0.524,21.0,11.0,1.0,4.0,4.0,37:03,0.0,1.0,29.0,4.0,2.0,3.0,37.05
27558,2016-02-08,12.0,1.0,1.0,0.625,8.0,5.0,0.619,21.0,13.0,1.0,1.0,1.0,35:00,2.0,5.0,32.0,3.0,0.0,2.0,35.0
28217,2016-02-10,7.0,0.0,2.0,0.5,6.0,3.0,0.625,24.0,15.0,0.5,4.0,2.0,35:50,1.0,5.0,35.0,3.0,2.0,1.0,35.833333333333336
28106,2016-02-18,4.0,0.0,0.0,0.333,3.0,1.0,0.333,18.0,6.0,1.0,6.0,6.0,31:26,1.0,3.0,19.0,1.0,2.0,2.0,31.433333333333334
28117,2016-02-21,1.0,0.0,1.0,0.0,1.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,9:16,0.0,1.0,2.0,1.0,0.0,0.0,9.266666666666667
28937,2016-02-22,5.0,0.0,1.0,0.429,7.0,3.0,0.524,21.0,11.0,0.833,6.0,5.0,37:43,0.0,5.0,30.0,1.0,2.0,2.0,37.71666666666667
32061,2016-02-24,5.0,1.0,3.0,0.25,4.0,1.0,0.588,17.0,10.0,0.5,4.0,2.0,32:09,3.0,2.0,23.0,6.0,1.0,1.0,32.15
29276,2016-02-26,1.0,0.0,0.0,0.0,2.0,0.0,0.364,11.0,4.0,1.0,2.0,2.0,31:11,1.0,2.0,10.0,1.0,1.0,2.0,31.183333333333334
28223,2016-02-28,6.0,0.0,1.0,0.5,8.0,4.0,0.45,20.0,9.0,1.0,6.0,6.0,32:11,0.0,4.0,28.0,1.0,0.0,4.0,32.18333333333333
29883,2016-02-29,6.0,0.0,2.0,0.5,2.0,1.0,0.385,13.0,5.0,1.0,11.0,11.0,35:21,1.0,3.0,22.0,3.0,1.0,4.0,35.35
29891,2016-03-04,8.0,0.0,4.0,0.5,6.0,3.0,0.444,18.0,8.0,1.0,2.0,2.0,31:41,1.0,1.0,21.0,5.0,1.0,1.0,31.683333333333334
29975,2016-03-05,4.0,2.0,3.0,0.5,6.0,3.0,0.538,13.0,7.0,0.75,4.0,3.0,30:08,0.0,5.0,20.0,3.0,0.0,3.0,30.133333333333333
29979,2016-03-07,5.0,1.0,2.0,0.429,7.0,3.0,0.563,16.0,9.0,0.857,7.0,6.0,37:24,0.0,4.0,27.0,2.0,4.0,7.0,37.4
28233,2016-03-09,4.0,0.0,1.0,0.3,10.0,3.0,0.5,22.0,11.0,0.833,6.0,5.0,38:45,0.0,0.0,30.0,1.0,1.0,2.0,38.75
30928,2016-03-10,9.0,1.0,1.0,0.286,7.0,2.0,0.55,20.0,11.0,1.0,2.0,2.0,37:06,1.0,2.0,26.0,2.0,0.0,2.0,37.1
29991,2016-03-13,5.0,0.0,2.0,0.286,7.0,2.0,0.412,17.0,7.0,1.0,1.0,1.0,31:11,0.0,3.0,17.0,2.0,1.0,2.0,31.183333333333334
29994,2016-03-14,3.0,1.0,2.0,0.1,10.0,1.0,0.304,23.0,7.0,0.0,0.0,0.0,33:41,2.0,2.0,15.0,4.0,2.0,0.0,33.68333333333333
29301,2016-03-16,1.0,1.0,4.0,0.3,10.0,3.0,0.464,28.0,13.0,1.0,4.0,4.0,38:31,1.0,2.0,33.0,5.0,1.0,4.0,38.516666666666666
30004,2016-03-18,5.0,0.0,1.0,0.667,3.0,2.0,0.529,17.0,9.0,1.0,6.0,6.0,39:42,0.0,1.0,26.0,1.0,0.0,5.0,39.7
30008,2016-03-19,4.0,0.0,0.0,0.5,2.0,1.0,0.625,8.0,5.0,1.0,3.0,3.0,27:25,0.0,0.0,14.0,0.0,3.0,4.0,27.416666666666668
29314,2016-03-21,3.0,0.0,1.0,0.0,1.0,0.0,0.333,12.0,4.0,0.0,0.0,0.0,23:56,1.0,1.0,8.0,2.0,0.0,2.0,23.933333333333334
30934,2016-03-23,8.0,0.0,7.0,0.25,4.0,1.0,0.5,10.0,5.0,1.0,5.0,5.0,38:20,1.0,2.0,16.0,8.0,1.0,2.0,38.333333333333336
29325,2016-03-24,4.0,0.0,4.0,0.125,8.0,1.0,0.273,22.0,6.0,0.0,0.0,0.0,36:11,1.0,3.0,13.0,5.0,0.0,0.0,36.18333333333333
29347,2016-03-29,8.0,1.0,2.0,0.455,11.0,5.0,0.391,23.0,9.0,0.889,9.0,8.0,37:14,0.0,3.0,31.0,2.0,1.0,5.0,37.233333333333334
30962,2016-03-31,3.0,1.0,2.0,0.0,5.0,0.0,0.286,14.0,4.0,1.0,2.0,2.0,24:19,0.0,2.0,10.0,2.0,1.0,1.0,24.316666666666666
30972,2016-04-01,7.0,2.0,4.0,0.286,7.0,2.0,0.217,23.0,5.0,0.8,10.0,8.0,41:39,2.0,2.0,20.0,6.0,2.0,1.0,41.65
33468,2016-04-05,6.0,0.0,3.0,0.75,4.0,3.0,0.556,9.0,5.0,0.667,3.0,2.0,26:54,0.0,2.0,15.0,3.0,0.0,3.0,26.9
32779,2016-04-06,6.0,1.0,2.0,0.2,5.0,1.0,0.611,18.0,11.0,0.75,4.0,3.0,30:13,0.0,2.0,26.0,2.0,3.0,4.0,30.216666666666665
32790,2016-04-09,8.0,0.0,2.0,0.5,2.0,1.0,0.294,17.0,5.0,0.0,0.0,0.0,38:35,2.0,2.0,11.0,4.0,2.0,4.0,38.583333333333336
32929,2016-04-11,5.0,1.0,2.0,0.5,8.0,4.0,0.5,28.0,14.0,1.0,3.0,3.0,40:13,2.0,2.0,35.0,4.0,2.0,6.0,40.21666666666667
33876,2016-04-17,6.0,1.0,3.0,0.5,10.0,5.0,0.417,24.0,10.0,0.75,8.0,6.0,37:32,2.0,2.0,31.0,5.0,2.0,1.0,37.53333333333333
33879,2016-04-20,4.0,0.0,0.0,0.571,7.0,4.0,0.444,18.0,8.0,0.667,3.0,2.0,33:42,1.0,0.0,22.0,1.0,2.0,1.0,33.7
33881,2016-04-22,4.0,0.0,0.0,0.5,6.0,3.0,0.55,20.0,11.0,1.0,1.0,1.0,39:23,0.0,1.0,26.0,0.0,0.0,2.0,39.38333333333333
33883,2016-04-24,5.0,0.0,3.0,0.364,11.0,4.0,0.48,25.0,12.0,0.75,4.0,3.0,40:25,0.0,2.0,31.0,3.0,1.0,2.0,40.416666666666664
34016,2016-05-02,8.0,2.0,1.0,0.6,5.0,3.0,0.444,18.0,8.0,1.0,2.0,2.0,34:24,0.0,3.0,21.0,1.0,1.0,2.0,34.4
33892,2016-05-04,6.0,0.0,2.0,0.8,5.0,4.0,0.556,9.0,5.0,0.833,6.0,5.0,22:40,0.0,2.0,19.0,2.0,1.0,1.0,22.666666666666668
33894,2016-05-06,3.0,0.0,1.0,0.8,5.0,4.0,0.474,19.0,9.0,1.0,2.0,2.0,40:04,0.0,5.0,24.0,1.0,3.0,2.0,40.06666666666667
34020,2016-05-08,8.0,1.0,2.0,0.333,3.0,1.0,0.5,16.0,8.0,0.8,5.0,4.0,42:20,0.0,0.0,21.0,2.0,0.0,2.0,42.333333333333336
33903,2016-05-17,5.0,2.0,2.0,0.333,3.0,1.0,0.647,17.0,11.0,1.0,4.0,4.0,30:07,0.0,2.0,27.0,2.0,2.0,2.0,30.116666666666667
33905,2016-05-19,3.0,0.0,3.0,0.0,3.0,0.0,0.545,22.0,12.0,0.667,3.0,2.0,36:57,1.0,2.0,26.0,4.0,1.0,3.0,36.95
33906,2016-05-21,1.0,0.0,3.0,0.143,7.0,1.0,0.158,19.0,3.0,1.0,6.0,6.0,37:41,1.0,2.0,13.0,4.0,1.0,3.0,37.68333333333333
33908,2016-05-23,6.0,0.0,3.0,0.375,8.0,3.0,0.524,21.0,11.0,1.0,1.0,1.0,38:41,0.0,3.0,26.0,3.0,1.0,4.0,38.68333333333333
33910,2016-05-25,3.0,1.0,1.0,0.5,2.0,1.0,0.529,17.0,9.0,0.8,5.0,4.0,27:09,2.0,3.0,23.0,3.0,3.0,1.0,27.15
33912,2016-05-27,9.0,1.0,4.0,0.5,4.0,2.0,0.5,24.0,12.0,0.8,5.0,4.0,39:53,0.0,1.0,30.0,4.0,3.0,4.0,39.88333333333333
33915,2016-06-02,4.0,0.0,2.0,0.25,4.0,1.0,0.318,22.0,7.0,0.917,12.0,11.0,37:39,1.0,2.0,26.0,3.0,3.0,3.0,37.65
33916,2016-06-05,1.0,0.0,2.0,0.0,3.0,0.0,0.357,14.0,5.0,0.0,0.0,0.0,33:06,1.0,1.0,10.0,3.0,3.0,3.0,33.1
33917,2016-06-08,8.0,0.0,3.0,0.429,7.0,3.0,0.48,25.0,12.0,1.0,3.0,3.0,36:36,1.0,4.0,30.0,4.0,1.0,2.0,36.6
33918,2016-06-10,4.0,1.0,3.0,0.333,6.0,2.0,0.5,28.0,14.0,0.8,5.0,4.0,43:23,1.0,2.0,34.0,4.0,3.0,1.0,43.38333333333333
33919,2016-06-13,6.0,1.0,3.0,0.714,7.0,5.0,0.708,24.0,17.0,1.0,2.0,2.0,39:47,0.0,4.0,41.0,3.0,2.0,4.0,39.78333333333333
33920,2016-06-16,3.0,2.0,3.0,0.4,5.0,2.0,0.389,18.0,7.0,1.0,7.0,7.0,39:14,1.0,2.0,23.0,4.0,2.0,3.0,39.233333333333334
33921,2016-06-19,1.0,1.0,3.0,0.4,5.0,2.0,0.435,23.0,10.0,1.0,4.0,4.0,43:00,3.0,3.0,26.0,6.0,1.0,2.0,43.0
33922,2016-10-25,4.0,0.0,1.0,0.571,7.0,4.0,0.545,22.0,12.0,1.0,1.0,1.0,29:48,1.0,1.0,29.0,2.0,2.0,0.0,29.8
34555,2016-10-28,6.0,0.0,5.0,0.556,9.0,5.0,0.435,23.0,10.0,1.0,1.0,1.0,38:26,1.0,4.0,26.0,6.0,0.0,7.0,38.43333333333333
34692,2016-10-29,2.0,2.0,4.0,0.333,6.0,2.0,0.389,18.0,7.0,1.0,4.0,4.0,36:52,0.0,2.0,20.0,4.0,0.0,1.0,36.86666666666667
33930,2016-11-01,4.0,0.0,1.0,0.667,6.0,4.0,0.526,19.0,10.0,1.0,8.0,8.0,34:47,1.0,1.0,32.0,2.0,0.0,3.0,34.78333333333333
34425,2016-11-03,6.0,0.0,4.0,0.375,8.0,3.0,0.5,18.0,9.0,0.667,3.0,2.0,34:01,0.0,3.0,23.0,4.0,0.0,3.0,34.016666666666666
34561,2016-11-05,2.0,0.0,6.0,0.0,5.0,0.0,0.176,17.0,3.0,0.667,3.0,2.0,33:52,1.0,2.0,8.0,7.0,2.0,4.0,33.86666666666667
34295,2016-11-08,4.0,1.0,1.0,0.143,7.0,1.0,0.407,27.0,11.0,0.857,7.0,6.0,39:28,0.0,3.0,29.0,1.0,0.0,0.0,39.46666666666667
35506,2016-11-11,6.0,0.0,2.0,0.444,9.0,4.0,0.478,23.0,11.0,0.75,4.0,3.0,36:26,0.0,3.0,29.0,2.0,0.0,2.0,36.43333333333333
35236,2016-11-13,4.0,0.0,1.0,0.2,5.0,1.0,0.471,17.0,8.0,1.0,2.0,2.0,26:36,2.0,2.0,19.0,3.0,1.0,0.0,26.6
34163,2016-11-15,4.0,0.0,3.0,0.5,4.0,2.0,0.5,20.0,10.0,0.5,4.0,2.0,35:19,2.0,3.0,24.0,5.0,2.0,5.0,35.31666666666667
33943,2016-11-16,7.0,0.0,1.0,0.2,5.0,1.0,0.5,20.0,10.0,0.75,4.0,3.0,31:39,1.0,3.0,24.0,2.0,1.0,2.0,31.65
35112,2016-11-18,11.0,0.0,2.0,0.75,4.0,3.0,0.733,15.0,11.0,0.0,0.0,0.0,28:31,0.0,1.0,25.0,2.0,1.0,0.0,28.516666666666666
35381,2016-11-23,6.0,0.0,2.0,0.5,6.0,3.0,0.533,15.0,8.0,0.5,2.0,1.0,33:27,0.0,2.0,20.0,2.0,1.0,3.0,33.45
32816,2016-11-25,1.0,1.0,1.0,0.8,5.0,4.0,0.769,13.0,10.0,1.0,1.0,1.0,28:29,0.0,0.0,25.0,1.0,0.0,2.0,28.483333333333334
34055,2016-11-27,2.0,0.0,3.0,0.455,11.0,5.0,0.519,27.0,14.0,1.0,6.0,6.0,40:45,1.0,0.0,39.0,4.0,0.0,1.0,40.75
35523,2016-11-29,3.0,0.0,2.0,0.4,5.0,2.0,0.417,12.0,5.0,1.0,8.0,8.0,31:20,0.0,3.0,20.0,2.0,1.0,3.0,31.333333333333332
35124,2016-12-01,2.0,0.0,2.0,0.25,4.0,1.0,0.421,19.0,8.0,0.917,12.0,11.0,33:55,0.0,2.0,28.0,2.0,0.0,4.0,33.916666666666664
32939,2016-12-02,8.0,0.0,2.0,0.0,3.0,0.0,0.429,21.0,9.0,0.667,3.0,2.0,38:02,4.0,1.0,20.0,6.0,1.0,2.0,38.03333333333333
33076,2016-12-05,7.0,0.0,1.0,0.333,6.0,2.0,0.5,18.0,9.0,1.0,4.0,4.0,36:53,1.0,4.0,24.0,2.0,0.0,6.0,36.88333333333333
35129,2016-12-07,6.0,0.0,3.0,0.667,6.0,4.0,0.529,17.0,9.0,1.0,6.0,6.0,30:27,0.0,1.0,28.0,3.0,0.0,2.0,30.45
33961,2016-12-09,3.0,0.0,1.0,0.5,4.0,2.0,0.6,15.0,9.0,0.6,5.0,3.0,33:01,0.0,0.0,23.0,1.0,0.0,2.0,33.016666666666666
32945,2016-12-10,5.0,0.0,3.0,0.667,3.0,2.0,0.308,13.0,4.0,1.0,1.0,1.0,36:09,1.0,3.0,11.0,4.0,0.0,3.0,36.15
33968,2016-12-17,12.0,0.0,5.0,0.333,6.0,2.0,0.471,17.0,8.0,1.0,3.0,3.0,38:28,1.0,0.0,21.0,6.0,3.0,2.0,38.46666666666667
33764,2016-12-20,5.0,0.0,5.0,0.429,7.0,3.0,0.348,23.0,8.0,1.0,9.0,9.0,45:13,0.0,1.0,28.0,5.0,0.0,2.0,45.21666666666667
34075,2016-12-21,13.0,0.0,6.0,0.5,2.0,1.0,0.647,17.0,11.0,0.889,9.0,8.0,34:58,0.0,2.0,31.0,6.0,1.0,4.0,34.96666666666667
33618,2016-12-23,10.0,0.0,4.0,0.333,3.0,1.0,0.455,11.0,5.0,1.0,2.0,2.0,26:27,1.0,1.0,13.0,5.0,6.0,1.0,26.45
33348,2016-12-25,10.0,0.0,3.0,0.4,5.0,2.0,0.407,27.0,11.0,1.0,1.0,1.0,43:53,3.0,0.0,25.0,6.0,7.0,2.0,43.88333333333333
34308,2016-12-26,8.0,0.0,4.0,0.333,6.0,2.0,0.4,20.0,8.0,0.0,1.0,0.0,28:50,1.0,3.0,18.0,5.0,0.0,3.0,28.833333333333332
34310,2016-12-29,12.0,0.0,3.0,0.4,5.0,2.0,0.706,17.0,12.0,0.857,7.0,6.0,41:36,2.0,0.0,32.0,5.0,3.0,4.0,41.6
33359,2017-01-06,4.0,0.0,3.0,0.333,9.0,3.0,0.385,26.0,10.0,1.0,9.0,9.0,35:40,0.0,1.0,32.0,3.0,2.0,0.0,35.666666666666664
34090,2017-01-08,7.0,0.0,1.0,0.571,7.0,4.0,0.5,20.0,10.0,1.0,3.0,3.0,39:58,1.0,0.0,27.0,2.0,1.0,7.0,39.96666666666667
34091,2017-01-10,4.0,0.0,2.0,0.25,8.0,2.0,0.278,18.0,5.0,1.0,8.0,8.0,38:60,2.0,3.0,20.0,4.0,1.0,3.0,39.0
34092,2017-01-11,1.0,0.0,0.0,0.5,2.0,1.0,0.25,16.0,4.0,1.0,2.0,2.0,31:56,3.0,2.0,11.0,3.0,2.0,3.0,31.933333333333334
34448,2017-01-13,5.0,0.0,3.0,0.286,7.0,2.0,0.455,22.0,10.0,1.0,4.0,4.0,34:38,1.0,5.0,26.0,4.0,1.0,3.0,34.63333333333333
34451,2017-01-16,2.0,1.0,2.0,0.2,5.0,1.0,0.316,19.0,6.0,0.8,5.0,4.0,29:09,0.0,3.0,17.0,2.0,1.0,6.0,29.15
34097,2017-01-19,4.0,0.0,2.0,0.286,7.0,2.0,0.5,20.0,10.0,0.8,5.0,4.0,32:52,0.0,2.0,26.0,2.0,2.0,2.0,32.86666666666667
34708,2017-01-21,9.0,0.0,2.0,0.375,8.0,3.0,0.591,22.0,13.0,0.0,1.0,0.0,41:02,1.0,2.0,29.0,3.0,2.0,2.0,41.03333333333333
34457,2017-01-23,4.0,1.0,2.0,0.571,14.0,8.0,0.536,28.0,15.0,1.0,11.0,11.0,41:38,0.0,4.0,49.0,2.0,2.0,0.0,41.63333333333333
